City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Cape Town,ZA,2021-06-17 23:51:42,-33.9258,18.4232,57.11,97,75,2.3
60,Kavieng,PG,2021-06-17 23:55:14,-2.5744,150.7967,82.9,70,93,5.75
61,Jiaocheng,CN,2021-06-17 23:55:14,24.6774,116.1389,83.7,77,83,3.76
62,Jalu,LY,2021-06-17 23:55:14,29.0331,21.5482,78.98,33,0,10.07
63,Atuona,PF,2021-06-17 23:55:15,-9.8,-139.0333,79.11,79,31,20.2
64,Saint-Philippe,RE,2021-06-17 23:55:15,-21.3585,55.7679,71.15,85,53,12.33
65,Tuktoyaktuk,CA,2021-06-17 23:55:16,69.4541,-133.0374,42.8,81,40,11.5
66,Barrow,US,2021-06-17 23:55:16,71.2906,-156.7887,54.5,48,98,7.94
67,Nanortalik,GL,2021-06-17 23:55:16,60.1432,-45.2371,36.97,86,61,4.25
68,Busselton,AU,2021-06-17 23:55:17,-33.65,115.3333,52.95,81,8,9.66
69,Yauya,PE,2021-06-17 23:55:17,-8.9833,-77.3,50.67,69,85,1.99
70,Hithadhoo,MV,2021-06-17 23:55:17,-0.6,73.0833,83.52,73,87,6.98
71,Sao Filipe,CV,2021-06-17 23:55:18,14.8961,-24.4956,73.53,76,1,7.87
72,Salalah,OM,2021-06-17 23:55:18,17.0151,54.0924,82.11,84,67,8.59
73,Margate,GB,2021-06-17 23:55:18,51.3813,1.3862,63.21,99,100,1.99
74,Solok,ID,2021-06-17 23:55:19,-0.7918,100.6593,68.95,85,100,0.29
75,Newport,GB,2021-06-17 23:55:19,51.5877,-2.9984,62.82,72,99,11.41
76,Thompson,CA,2021-06-17 23:55:19,55.7435,-97.8558,44.76,93,90,12.66
77,Totma,RU,2021-06-17 23:55:20,59.9747,42.7642,47.23,79,19,4.21
78,Marquette,US,2021-06-17 23:55:20,46.5333,-87.6335,83.64,61,62,4.59
79,Qaanaaq,GL,2021-06-17 23:55:20,77.484,-69.3632,34.32,75,1,3.85
80,Gimli,CA,2021-06-17 23:55:21,50.6336,-96.9907,80.62,22,16,11.5
81,Ulaanbaatar,MN,2021-06-17 23:51:32,47.9077,106.8832,50.13,66,0,4.47
82,Contratacion,CO,2021-06-17 23:55:21,6.2901,-73.4735,60.49,98,78,2.84
83,Huilong,CN,2021-06-17 23:55:22,31.8111,121.655,80.04,94,100,6.08
84,Esperance,AU,2021-06-17 23:55:22,-33.8667,121.9,51.64,77,59,10.49
85,Kroya,ID,2021-06-17 23:55:22,-7.6331,109.2461,76.64,92,83,2.66
86,Arlit,NE,2021-06-17 23:55:23,18.7369,7.3853,89.58,20,24,6.51
87,Agua Prieta,MX,2021-06-17 23:55:23,31.3,-109.5667,101.34,7,0,17.43
88,Zhenhai,CN,2021-06-17 23:55:23,24.2582,118.0905,84.88,82,95,8.7
89,Lebu,CL,2021-06-17 23:55:24,-37.6167,-73.65,51.31,82,2,2.44
90,Sri Aman,MY,2021-06-17 23:55:24,1.2376,111.4621,73.45,94,96,3.44
91,Punta Arenas,CL,2021-06-17 23:51:15,-53.15,-70.9167,33.82,100,0,6.91
92,Petropavlovsk-Kamchatskiy,RU,2021-06-17 23:55:24,53.0452,158.6483,57.79,58,75,20.13
93,Castanos,MX,2021-06-17 23:55:25,26.7833,-101.4167,83.34,45,27,18.7
94,Manamadurai,IN,2021-06-17 23:55:25,9.7,78.4833,81.3,60,100,9.75
95,Severo-Kurilsk,RU,2021-06-17 23:55:25,50.6789,156.125,45.97,88,76,13.76
